datetime,open,high,low,close,name,volume
2020-03-04,8766.75000,8844.69043,8674.16992,8753.29004,BTC,
2020-03-03,8912.29980,8912.75977,8667.01953,8760.36035,BTC,
2020-03-02,8530.51953,8964.84961,8499.92969,8911.44043,BTC,
2020-03-01,8553.71973,8742.70996,8432.16992,8542.33008,BTC,
2020-02-29,8699.75000,8790.00000,8524.08008,8524.08008,BTC,
2020-02-28,8823.50000,8898.62012,8456.26953,8690.83984,BTC,
2020-02-27,8784.75977,8969.61035,8535.04004,8818.00000,BTC,
2020-02-26,9314.12988,9377.09961,8666.00000,8790.11035,BTC,
2020-02-25,9655.00000,9670.58984,9255.73047,9320.00000,BTC,
2020-02-24,9936.13965,9987.95020,9493.51953,9659.00977,BTC,
2020-02-23,9650.00000,9970.54980,9649.00000,9944.21973,BTC,
2020-02-22,9678.40039,9705.41992,9560.58984,9651.75000,BTC,
2020-02-21,9597.34961,9754.95996,9571.29004,9677.70020,BTC,
2020-02-20,9588.57031,9681.66016,9456.38965,9604.23047,BTC,
2020-02-19,10168.76953,10230.00000,9380.16992,9595.63965,BTC,
2020-02-18,9707.12012,10249.98047,9596.69043,10156.12012,BTC,
2020-02-17,9904.26953,9952.71973,9453.00000,9697.94043,BTC,
2020-02-16,9904.34961,10047.29004,9646.54004,9925.92969,BTC,
2020-02-15,10352.75000,10372.99023,9814.75000,9906.28027,BTC,
2020-02-14,10229.92969,10372.53027,10113.20020,10344.49023,BTC,
2020-02-13,10316.95020,10496.54980,10110.00000,10240.38965,BTC,
2020-02-12,10231.36035,10436.83984,10231.36035,10324.24023,BTC,
2020-02-11,9856.33008,10323.44043,9717.96973,10225.00000,BTC,
2020-02-10,10157.79980,10186.08008,9771.00000,9852.57031,BTC,
2020-02-09,9895.00000,10158.99023,9881.00000,10153.83008,BTC,
2020-02-08,9813.71973,9937.30957,9671.91992,9898.11035,BTC,
2020-02-07,9773.03027,9883.05957,9736.03027,9819.59961,BTC,
2020-02-06,9620.83008,9859.36035,9536.73047,9770.00000,BTC,
2020-02-05,9196.50000,9727.38965,9179.58984,9612.95020,BTC,
2020-02-04,9301.95020,9347.83008,9100.28027,9197.24023,BTC,
2020-02-03,9326.91016,9580.08008,9242.95020,9295.08008,BTC,
2020-02-02,9383.08008,9467.33984,9204.75000,9326.75000,BTC,
2020-02-01,9354.70996,9463.04004,9302.00000,9387.71973,BTC,
2020-01-31,9512.46973,9529.99023,9232.07031,9352.79004,BTC,
2020-01-30,9290.00000,9576.41016,9213.69043,9513.29004,BTC,
2020-01-29,9396.15039,9432.32031,9256.59961,9300.54980,BTC,
2020-01-28,8917.25000,9388.95020,8910.95020,9367.04980,BTC,
2020-01-27,8621.33008,9000.00000,8584.95996,8907.58008,BTC,
2020-01-26,8327.48047,8615.24023,8304.16016,8612.54980,BTC,
2020-01-25,8439.54004,8450.04980,8272.90039,8340.00000,BTC,
2020-01-24,8405.00000,8522.87988,8238.80957,8437.48047,BTC,
2020-01-23,8686.58008,8686.58008,8310.34961,8409.83984,BTC,
2020-01-22,8744.98047,8807.28027,8600.53027,8682.11035,BTC,
2020-01-21,8649.05957,8777.49023,8518.03027,8733.33008,BTC,
2020-01-20,8711.42969,8743.29980,8523.38965,8641.83984,BTC,
2020-01-19,8912.37012,9196.84961,8542.20020,8701.55957,BTC,
2020-01-18,8905.78027,8985.17969,8806.78027,8919.34961,BTC,
2020-01-17,8722.49023,9018.00000,8676.71973,8912.58984,BTC,
2020-01-16,8824.57031,8859.21973,8601.78027,8731.99023,BTC,
2020-01-15,8802.63965,8912.38965,8573.66992,8829.16992,BTC,
2020-01-14,8112.64014,8876.13965,8112.64014,8840.00000,BTC,
2020-01-13,8184.62988,8195.00977,8060.02002,8107.75977,BTC,
2020-01-12,8005.85010,8189.41992,7968.02979,8182.41016,BTC,
2020-01-11,8176.39014,8284.84961,8006.22998,8020.00977,BTC,
2020-01-10,7817.75977,8197.37012,7684.74023,8194.87988,BTC,
2020-01-09,8052.75977,8052.75977,7753.72998,7822.22998,BTC,
2020-01-08,8147.08984,8450.54980,7880.79980,8049.77002,BTC,
2020-01-07,7769.20996,8186.81006,7740.00000,8158.56982,BTC,
2020-01-06,7352.39014,7783.45996,7348.39014,7757.18994,BTC,
2020-01-05,7355.08008,7489.43994,7323.89014,7357.16992,BTC,
2020-01-04,7340.45996,7398.50977,7284.00000,7351.87988,BTC,
2020-01-03,6964.39990,7399.00000,6878.79980,7335.56006,BTC,
2020-01-02,7193.35010,7212.50000,6943.75977,6962.74023,BTC,
2020-01-01,7190.64014,7254.91992,7175.81006,7200.56006,BTC,
