datetime,open,high,low,close,volume,name,
"Thursday, January 16, 2020",29131.94922,29300.32031,29131.94922,29297.64062,252110000,DJI,
"Wednesday, January 15, 2020",28901.80078,29127.58984,28897.34961,29030.2207,260270000,DJI,
"Tuesday, January 14, 2020",28895.5,29054.16016,28872.26953,28939.66992,287440000,DJI,
"Monday, January 13, 2020",28869.00977,28909.91016,28819.42969,28907.05078,249830000,DJI,
"Friday, January 10, 2020",28977.51953,29009.07031,28789.09961,28823.76953,237830000,DJI,
"Thursday, January 9, 2020",28851.9707,28988.00977,28844.31055,28956.90039,275060000,DJI,
"Wednesday, January 8, 2020",28556.14062,28866.17969,28522.50977,28745.08984,291750000,DJI,
"Tuesday, January 7, 2020",28639.17969,28685.5,28565.2793,28583.67969,258900000,DJI,
"Monday, January 6, 2020",28465.5,28708.01953,28418.63086,28703.38086,252760000,DJI,
"Friday, January 3, 2020",28553.33008,28716.31055,28500.35938,28634.88086,239590000,DJI,
"Thursday, January 2, 2020",28638.9707,28872.80078,28627.76953,28868.80078,251820000,DJI,
