id,close,datetime,high,low,name,open,volume
33,27960.80078,2020-02-24,28402.92969,27912.43945,DJI,28402.92969,452580000
34,28992.41016,2020-02-21,29146.52930,28892.69922,DJI,29146.52930,311210000
35,29219.98047,2020-02-20,29368.44922,28959.65039,DJI,29296.25000,287780000
36,29348.02930,2020-02-19,29409.08984,29274.38086,DJI,29312.69922,240640000
37,29232.18945,2020-02-18,29330.16016,29116.81055,DJI,29282.77930,256600000
38,29398.08008,2020-02-14,29463.03906,29283.17969,DJI,29440.47070,231000000
39,29423.31055,2020-02-13,29535.40039,29345.92969,DJI,29436.02930,291150000
40,29551.41992,2020-02-12,29568.57031,29406.75000,DJI,29406.75000,309530000
41,29276.33984,2020-02-11,29415.39062,29210.47070,DJI,29390.71094,279540000
42,29276.82031,2020-02-10,29278.07031,28995.66016,DJI,28995.66016,250510000
43,29102.50977,2020-02-07,29286.91992,29056.98047,DJI,29286.91992,252860000
44,29379.76953,2020-02-06,29408.05078,29246.92969,DJI,29388.58008,263700000
45,29290.84961,2020-02-05,29308.89062,29000.84961,DJI,29048.73047,357540000
46,28807.63086,2020-02-04,28904.88086,28696.74023,DJI,28696.74023,332750000
47,28399.81055,2020-02-03,28630.39062,28319.65039,DJI,28319.65039,307910000
48,28256.02930,2020-01-31,28813.03906,28169.52930,DJI,28813.03906,403890000
49,28859.43945,2020-01-30,28879.71094,28489.75977,DJI,28640.16016,326850000
50,28734.44922,2020-01-29,28944.24023,28728.18945,DJI,28820.52930,302290000
51,28722.84961,2020-01-28,28823.23047,28575.75000,DJI,28594.27930,330140000
52,28535.80078,2020-01-27,28671.78906,28440.47070,DJI,28542.49023,337270000
53,28989.73047,2020-01-24,29288.78906,28843.31055,DJI,29230.39062,380010000
54,29160.08984,2020-01-23,29190.47070,28966.98047,DJI,29111.01953,307060000
55,29186.26953,2020-01-22,29320.19922,29172.25977,DJI,29263.63086,283440000
56,29196.03906,2020-01-21,29341.21094,29146.47070,DJI,29269.05078,320640000
57,29348.09961,2020-01-17,29373.61914,29289.91016,DJI,29313.31055,321820000
58,29297.64062,2020-01-16,29300.32031,29131.94922,DJI,29131.94922,252110000
59,29030.22070,2020-01-15,29127.58984,28897.34961,DJI,28901.80078,260270000
60,28939.66992,2020-01-14,29054.16016,28872.26953,DJI,28895.50000,287440000
61,28907.05078,2020-01-13,28909.91016,28819.42969,DJI,28869.00977,249830000
62,28823.76953,2020-01-10,29009.07031,28789.09961,DJI,28977.51953,237830000
63,28956.90039,2020-01-09,28988.00977,28844.31055,DJI,28851.97070,275060000
64,28745.08984,2020-01-08,28866.17969,28522.50977,DJI,28556.14062,291750000
65,28583.67969,2020-01-07,28685.50000,28565.27930,DJI,28639.17969,258900000
66,28703.38086,2020-01-06,28708.01953,28418.63086,DJI,28465.50000,252760000
67,28634.88086,2020-01-03,28716.31055,28500.35938,DJI,28553.33008,239590000
68,28868.80078,2020-01-02,28872.80078,28627.76953,DJI,28638.97070,251820000
69,6805.62012,2020-04-11,6935.97998,6783.54004,BTC,6877.22021,
70,6860.20020,2020-04-10,7292.79980,6751.47021,BTC,7287.58008,
71,7287.31982,2020-04-09,7368.02002,7140.89990,BTC,7335.97998,
72,7359.54004,2020-04-08,7413.79004,7157.66016,BTC,7200.00000,
73,7202.04004,2020-04-07,7445.70020,7093.00000,BTC,7313.27002,
74,7333.83984,2020-04-06,7333.83984,6769.25977,BTC,6771.54004,
75,6772.16992,2020-04-05,6889.60986,6694.79980,BTC,6889.60986,
76,6856.83008,2020-04-04,6982.85010,6658.18994,BTC,6722.45996,
77,6728.99023,2020-04-03,7033.10986,6615.97998,BTC,6792.41992,
78,6806.35010,2020-04-02,7154.56982,6569.14014,BTC,6699.58008,
79,6639.93994,2020-04-01,6669.81006,6153.66992,BTC,6423.12988,
80,6410.77002,2020-03-31,6515.29980,6341.29004,BTC,6384.00000,
81,6394.43018,2020-03-30,6560.00000,5865.97998,BTC,5892.29004,
82,5882.18994,2020-03-29,6261.04004,5877.54004,BTC,6242.02979,
83,6245.29004,2020-03-28,6322.70020,6051.35010,BTC,6297.52002,
84,6363.50000,2020-03-27,6831.70996,6323.60986,BTC,6745.43018,
85,6737.37012,2020-03-26,6775.72021,6534.70996,BTC,6687.50000,
86,6679.68018,2020-03-25,6938.49023,6470.08984,BTC,6734.00977,
87,6747.72021,2020-03-24,6827.66992,6388.20996,BTC,6466.58984,
88,6482.14014,2020-03-23,6566.20020,5694.91016,BTC,5803.37988,
89,5817.85986,2020-03-22,6403.95996,5747.93018,BTC,6179.06006,
90,6190.00000,2020-03-21,6443.54980,5890.50000,BTC,6213.31006,
91,6208.43018,2020-03-20,6898.02979,5757.02002,BTC,6165.56006,
92,6168.45020,2020-03-19,6389.08008,5264.75977,BTC,5406.39014,
93,5395.85010,2020-03-18,5426.39990,5012.85010,BTC,5325.18994,
94,5331.58008,2020-03-17,5510.00977,4945.06982,BTC,5084.95996,
95,5024.35010,2020-03-16,5363.04980,4468.10986,BTC,5360.16992,
96,5364.49023,2020-03-15,5901.29004,5109.95996,BTC,5174.68018,
97,5177.10010,2020-03-14,5629.47021,5061.91016,BTC,5534.68994,
98,5580.83984,2020-03-13,5886.60986,3783.51001,BTC,4846.49023,
99,4858.37988,2020-03-12,7961.50977,4509.95020,BTC,7944.60010,
100,7932.81006,2020-03-11,7973.31006,7599.14990,BTC,7886.16016,
101,7886.43018,2020-03-10,8145.77002,7758.54980,BTC,7930.49023,
102,7934.89990,2020-03-09,8152.58984,7649.37012,BTC,8037.02979,
103,8029.56982,2020-03-08,8885.00000,8009.58984,BTC,8885.00000,
104,8885.91016,2020-03-07,9167.53027,8846.54980,BTC,9134.48047,
105,9133.59961,2020-03-06,9165.04980,8992.79980,BTC,9044.24023,
106,9059.99023,2020-03-05,9153.04004,8757.65039,BTC,8757.65039,
107,8753.29004,2020-03-04,8844.69043,8674.16992,BTC,8766.75000,
108,8760.36035,2020-03-03,8912.75977,8667.01953,BTC,8912.29980,
109,8911.44043,2020-03-02,8964.84961,8499.92969,BTC,8530.51953,
110,8542.33008,2020-03-01,8742.70996,8432.16992,BTC,8553.71973,
111,8524.08008,2020-02-29,8790.00000,8524.08008,BTC,8699.75000,
112,8690.83984,2020-02-28,8898.62012,8456.26953,BTC,8823.50000,
113,8818.00000,2020-02-27,8969.61035,8535.04004,BTC,8784.75977,
114,8790.11035,2020-02-26,9377.09961,8666.00000,BTC,9314.12988,
115,9320.00000,2020-02-25,9670.58984,9255.73047,BTC,9655.00000,
116,9659.00977,2020-02-24,9987.95020,9493.51953,BTC,9936.13965,
117,9944.21973,2020-02-23,9970.54980,9649.00000,BTC,9650.00000,
118,9651.75000,2020-02-22,9705.41992,9560.58984,BTC,9678.40039,
119,9677.70020,2020-02-21,9754.95996,9571.29004,BTC,9597.34961,
120,9604.23047,2020-02-20,9681.66016,9456.38965,BTC,9588.57031,
121,9595.63965,2020-02-19,10230.00000,9380.16992,BTC,10168.76953,
122,10156.12012,2020-02-18,10249.98047,9596.69043,BTC,9707.12012,
123,9697.94043,2020-02-17,9952.71973,9453.00000,BTC,9904.26953,
124,9925.92969,2020-02-16,10047.29004,9646.54004,BTC,9904.34961,
125,9906.28027,2020-02-15,10372.99023,9814.75000,BTC,10352.75000,
126,10344.49023,2020-02-14,10372.53027,10113.20020,BTC,10229.92969,
127,10240.38965,2020-02-13,10496.54980,10110.00000,BTC,10316.95020,
128,10324.24023,2020-02-12,10436.83984,10231.36035,BTC,10231.36035,
129,10225.00000,2020-02-11,10323.44043,9717.96973,BTC,9856.33008,
130,9852.57031,2020-02-10,10186.08008,9771.00000,BTC,10157.79980,
131,10153.83008,2020-02-09,10158.99023,9881.00000,BTC,9895.00000,
132,9898.11035,2020-02-08,9937.30957,9671.91992,BTC,9813.71973,
133,9819.59961,2020-02-07,9883.05957,9736.03027,BTC,9773.03027,
134,9770.00000,2020-02-06,9859.36035,9536.73047,BTC,9620.83008,
135,9612.95020,2020-02-05,9727.38965,9179.58984,BTC,9196.50000,
136,9197.24023,2020-02-04,9347.83008,9100.28027,BTC,9301.95020,
137,9295.08008,2020-02-03,9580.08008,9242.95020,BTC,9326.91016,
138,9326.75000,2020-02-02,9467.33984,9204.75000,BTC,9383.08008,
139,9387.71973,2020-02-01,9463.04004,9302.00000,BTC,9354.70996,
140,9352.79004,2020-01-31,9529.99023,9232.07031,BTC,9512.46973,
141,9513.29004,2020-01-30,9576.41016,9213.69043,BTC,9290.00000,
142,9300.54980,2020-01-29,9432.32031,9256.59961,BTC,9396.15039,
143,9367.04980,2020-01-28,9388.95020,8910.95020,BTC,8917.25000,
144,8907.58008,2020-01-27,9000.00000,8584.95996,BTC,8621.33008,
145,8612.54980,2020-01-26,8615.24023,8304.16016,BTC,8327.48047,
146,8340.00000,2020-01-25,8450.04980,8272.90039,BTC,8439.54004,
147,8437.48047,2020-01-24,8522.87988,8238.80957,BTC,8405.00000,
148,8409.83984,2020-01-23,8686.58008,8310.34961,BTC,8686.58008,
149,8682.11035,2020-01-22,8807.28027,8600.53027,BTC,8744.98047,
150,8733.33008,2020-01-21,8777.49023,8518.03027,BTC,8649.05957,
151,8641.83984,2020-01-20,8743.29980,8523.38965,BTC,8711.42969,
152,8701.55957,2020-01-19,9196.84961,8542.20020,BTC,8912.37012,
153,8919.34961,2020-01-18,8985.17969,8806.78027,BTC,8905.78027,
154,8912.58984,2020-01-17,9018.00000,8676.71973,BTC,8722.49023,
155,8731.99023,2020-01-16,8859.21973,8601.78027,BTC,8824.57031,
156,8829.16992,2020-01-15,8912.38965,8573.66992,BTC,8802.63965,
157,8840.00000,2020-01-14,8876.13965,8112.64014,BTC,8112.64014,
158,8107.75977,2020-01-13,8195.00977,8060.02002,BTC,8184.62988,
159,8182.41016,2020-01-12,8189.41992,7968.02979,BTC,8005.85010,
160,8020.00977,2020-01-11,8284.84961,8006.22998,BTC,8176.39014,
161,8194.87988,2020-01-10,8197.37012,7684.74023,BTC,7817.75977,
162,7822.22998,2020-01-09,8052.75977,7753.72998,BTC,8052.75977,
163,8049.77002,2020-01-08,8450.54980,7880.79980,BTC,8147.08984,
164,8158.56982,2020-01-07,8186.81006,7740.00000,BTC,7769.20996,
165,7757.18994,2020-01-06,7783.45996,7348.39014,BTC,7352.39014,
166,7357.16992,2020-01-05,7489.43994,7323.89014,BTC,7355.08008,
167,7351.87988,2020-01-04,7398.50977,7284.00000,BTC,7340.45996,
